Talamanca de Jarama,40.74688,-3.513244
Tielmes,40.24457,-3.314466
Titulcia,40.13673,-3.570501
Torrejón de Ardoz,40.4589,-3.479771
Torrejón de la Calzada,40.20154,-3.798929
Torrejón de Velasco,40.18713,-3.778751
Torrelaguna,40.82785,-3.538488
Torrelodones,40.57628,-3.929452
Torremocha de Jarama,40.83705,-3.494407
Torres de la Alameda,40.40473,-3.360132
Tres Cantos,40.59907,-3.712258
Valdaracete,40.21115,-3.194556
Valdeavero,40.63099,-3.332983
Valdelaguna,40.16192,-3.367249
Valdemanco,40.87252,-3.662956
Valdemaqueda,40.51147,-4.295926
Valdemorillo,40.50208,-4.065841
Valdemoro,40.19269,-3.679874
Valdeolmos-Alalpardo,40.62949,-3.475017
Valdepiélagos,40.76059,-3.465914
Valdetorres de Jarama,40.69559,-3.514251
Valdilecha,40.29548,-3.303884
Valverde de Alcalá,40.41972,-3.298921
Velilla de San Antonio,40.36703,-3.488029
Vellón (El),40.76603,-3.582034
Venturada,40.79869,-3.622139
Villa del Prado,40.27678,-4.305642
Villaconejos,40.10424,-3.484903
Villalbilla,40.43228,-3.298869
Villamanrique de Tajo,40.06812,-3.240428
Villamanta,40.29961,-4.110051
Villamantilla,40.33805,-4.13056
Villanueva de la Cañada,40.44681,-4.005355
Villanueva de Perales,40.34705,-4.101031
Villanueva del Pardillo,40.49063,-3.964322
Villar del Olmo,40.33669,-3.235551
Villarejo de Salvanés,40.16873,-3.275975
Villaviciosa de Odón,40.3571,-3.90059
Villavieja del Lozoya,41.00592,-3.671118
Zarzalejo,40.54749,-4.181604
